ev_id,trip_index,location_zone,location_type,arrival_min,departure_min,charged_kwh,deferrable_kwh,max_delay_min
1,1,2,H,1083.9192645918367,1440,5.456739633840895,5.456739633840895,310.60790512615586
2,0,4,O,1042.9047331428571,1252,7.616066989605331,7.616066989605331,167.55308327747753
3,0,8,W,453.73556306938775,1042,7.3718411234292205,7.3718411234292205,548.0543944391802
3,1,19,H,1054.7280681632653,1440,1.932561930085214,1.932561930085214,369.16724908602464
4,0,7,W,422.601386,1064,13.289007514517625,13.289007514517625,568.9131184662674
5,0,14,W,449.61003065306124,1038,11.765411785356704,11.765411785356704,524.2149959722658
6,1,11,H,1081.3992684040816,1440,8.851374613330496,8.851374613330496,284.8392764848311
7,0,15,W,457.6114530204082,1042,13.645448921917707,13.645448921917707,509.95882558731336
8,1,2,H,1087.987732277551,1440,13.010856818005928,13.010856818005928,243.58846090573297
9,1,16,H,1063.0037900571429,1440,6.945312475238824,6.945312475238824,319.1186059825336
10,0,3,W,452.6088453469388,1055,8.922275696854802,8.922275696854802,553.7241963065804
12,1,24,H,1081.939204,1440,3.404191262187137,3.404191262187137,329.6925354817738
14,1,2,H,1043.3562646897958,1440,9.578982597092782,9.578982597092782,316.818880334431
16,1,9,H,1031.268381865306,1440,8.173964253807787,8.173964253807787,340.61524935296234
17,1,5,H,1074.2687224489796,1440,3.210014348327819,3.210014348327819,338.9811579816219
20,1,9,H,1328.6719857918367,1440,6.736315519413951,6.6230461855656415,55.1920515463803
21,1,17,H,1069.875460587755,1440,7.581752458569323,7.581752458569323,306.94326892416734
22,1,4,H,1072.1714969306122,1440,5.15182067761382,5.15182067761382,324.8966640892727
23,1,17,H,1058.686289897959,1440,9.152765037070598,9.152765037070598,305.0406681264526
24,0,22,W,442.6433113142857,1065,11.982423283252299,11.982423283252299,556.9980162316108
25,1,22,H,1051.3117385714286,1440,6.491563173079898,6.491563173079898,334.59190165290556
26,0,19,W,469.662479755102,1061,10.919931008589364,10.919931008589364,531.7742601980469
26,1,11,H,1092.697621522449,1440,4.4587945162076785,4.4587945162076785,310.14575750915355
28,1,22,H,1204.2538909693878,1440,4.055193227947115,4.055193227947115,201.9528321310529
29,1,15,H,1067.8350853979591,1440,9.099240622901698,9.099240622901698,296.3379094111933
30,1,21,H,1064.327905877551,1440,1.8867605595625498,1.8867605595625498,359.94908945942757
31,1,9,H,1054.366860642857,1440,5.867550439163049,5.867550439163049,336.7368856974508
34,0,9,W,462.6090622040816,1019,9.267171430795749,9.267171430795749,505.8427299915779
36,1,9,H,1049.3140721428572,1440,4.058976051580439,4.058976051580439,356.86112742730575
38,1,22,H,1055.9214432653062,1440,5.950994512510487,5.950994512510487,334.4869357971065
39,1,24,H,1042.085551542857,1440,3.2823877101709567,3.2823877101709567,370.56121753905154
41,1,10,H,1092.2927774857144,1440,8.240185710496375,8.240185710496375,279.0390082601491
42,0,11,O,675.8018614693877,799,7.990610415641884,7.990610415641884,79.61299080892923
43,1,9,H,1066.761448979592,1440,8.043565025997786,8.043565025997786,306.2088424704266
44,0,3,W,478.35195881632654,1031,8.340659531078463,8.340659531078463,507.1535346505182
44,1,13,H,1050.327126922449,1440,2.814688518191087,2.814688518191087,366.21713542595853
46,1,9,H,1077.3594014612245,1440,6.4933339597493465,6.4933339597493465,308.5294822075309
47,1,19,H,1100.6074674285715,1440,8.247778555662945,8.247778555662945,270.6610446075706
48,0,19,W,450.6883706857143,1067,7.227546992475915,7.227546992475915,576.8886457189626
48,1,3,H,1089.7024440408163,1440,3.3798918740205792,3.3798918740205792,322.13179034234554
50,1,6,H,1056.6885813469387,1440,5.3338262095642754,5.3338262095642754,338.86286690669226
52,1,15,H,1045.3643179591836,1440,7.690227205038784,7.690227205038784,330.5504553321598
54,1,15,H,1056.9237331755103,1440,5.326503116923806,5.326503116923806,338.68874085012476
55,1,8,H,1071.5456309183674,1440,7.960185953192424,7.960185953192424,302.1194861383624
56,1,18,H,1060.9733384653061,1440,5.366680209212568,5.366680209212568,334.30432645792257
57,1,7,H,1072.4102318857142,1440,9.794841364435067,9.794841364435067,285.96609007732695
60,0,14,W,440.35115230612246,1042,9.636365163752506,9.636365163752506,549.0868558915912
61,1,22,H,1082.0099269387756,1440,7.8716006849491755,7.8716006849491755,292.39340068664796
62,0,2,W,473.8048283142857,1050,8.63778530227048,8.63778530227048,529.0799791278753
63,1,16,H,1078.7032323163264,1440,6.708136084956786,6.708136084956786,305.3956336423671
64,1,18,H,1071.943419244898,1440,3.4870348864576783,3.4870348864576783,338.9979567012881
65,1,13,H,1068.941206897959,1440,6.0145602560364875,6.0145602560364875,320.93745763507013
66,1,16,H,1134.3028285714286,1440,1.24518815023972,1.24518815023972,295.3206035099072
67,1,21,H,707.9614363755102,1440,8.31900045522648,8.31900045522648,662.7135598309358
68,0,7,W,470.96088567346936,1037,9.381959537514353,9.381959537514353,514.8647895764523
68,1,10,H,1055.935013,1440,2.527095536131206,2.527095536131206,363.0058575322398
69,0,6,O,817.960726,928,10.638071340251626,9.53579555974837,52.01343032590023
71,1,19,H,1078.889288510204,1440,11.739652915958278,11.739652915958278,263.28027052347693
73,1,2,H,1333.0514940918367,1440,5.588953227732219,5.588953227732219,60.373895677061455
74,1,14,H,1070.7025389795917,1440,0.15844766220133977,0.15844766220133977,367.9770638353971
76,1,11,H,757.800528,1440,9.66585867903359,9.66585867903359,601.6506496747202
78,0,20,O,707.5818970285715,940,9.90204355111715,9.90204355111715,178.40695632897132
78,1,6,H,975.5830517591837,1440,5.104370398048033,5.104370398048033,421.8805282570827
82,0,6,W,477.53958451020407,1078,10.47268357594848,10.47268357594848,543.3366868937132
82,1,1,H,1109.5305505918368,1440,4.211923146960821,4.211923146960821,295.3700898501563
83,0,11,W,436.60364481632655,1048,11.11753201136327,11.11753201136327,550.7552714853283
88,1,3,H,1060.8171384489797,1440,4.795473519440106,4.795473519440106,339.22058222235273
90,0,23,W,448.68066910204084,1081,10.49106891071373,10.49106891071373,575.0953186577025
91,1,23,H,694.601056,1440,6.725827859875084,6.725827859875084,689.350378501041
93,0,7,W,446.7265924571429,1044,8.842629010348304,8.842629010348304,549.04088566823
98,1,9,H,1058.875777387755,1440,4.871435696778406,4.871435696778406,340.5289251390916
99,1,4,H,1069.3084715714285,1440,0.9507615953491175,0.9507615953491175,362.7685151339956
102,1,9,H,1080.9786629142857,1440,7.393956289090669,7.393956289090669,297.4050346766255
103,0,2,O,791.0416632,959,12.093320918717199,12.093320918717199,101.99476815245168
104,0,12,W,476.9966448163265,1060,9.069127142070784,9.069127142070784,533.5353889541964
109,0,9,O,696.7506734693877,853,8.172126153737953,8.172126153737953,111.67409296476887
112,1,24,H,796.2647253306122,1440,6.606956786491885,6.606956786491885,588.6773014486221
